Rita;Hofer;Hünenberg;KR;1;DSC_7008;Bezahlbarer Wohnraum für alle Altersgruppen, Soziale Verantwortung in der Wirtschaft und Gesellschaft heisst fairer Handel und soziale Gerechtigkeit, eine starke Bildung, die an der Chancengerechtigkeit festhält, ;Fachlehrperson TW/HW;Verheiratet, erwachsene Tochter und Sohn;;"Kantonsrätin;Präsidentin der Kommission Gesundheit und Soziales;Mitglied der Bildungskommission";"Co-Präsidentin Grünes Forum Hünenberg,;Präsidentin von KISS Hünenberg;Mitglied Lehrerverein Zug LVZ";;1
Martin;Affentranger;Hünenberg;KR;3;;Weil in der Welt der Mensch und die Umwelt zusammen gehören, kann der Mensch nur mit und nicht gegen die Natur überleben. Als Apotheker ist es mir wichtig, die Gesundheit der Menschen und auch der Natur zu erhalten.;Apotheker;2 Kinder;https://www.linkedin.com/in/martinaffentranger;"Präsident Zuger Apotheken;Delegierter Pharmasuisse";"IG Langhuus;Präsident Verein Zuger Apotheken ;Delegierter Pharmasuisse;Gewerbeverband (Präsidentenkonferenz)";;0
Reto;Planzer;Hünenberg;KR;4;DSC_6700-2;Nachhaltige lokale Begegnungs- und Bewegungsmöglichkeiten, zugänglich für alle.;Fachperson für Sport & Ausbildner ;Verheiratet;https://www.linkedin.com/in/reto-planzer-zimmerli-09753591;;"Behindertensportverband;Tennisclub ";;0
Viola;Buchmann;Hünenberg;KR;5;DSC_6764-2;Ich setze mich ein für eine Gesellschaft, an der alle gleichberechtigt teilhaben können.;Heilpädagogin;Verheiratet mit 2 Töchtern;;Mitglied Schulkommission;Verein buk (Bildung für Unterstützte Kommunikation);;0
Anastas;Odermatt;Steinhausen;KR;1;AO_6446;Ehrlichkeit, Interesse und Engagement - für eine offene, nachhaltige und solidarische Gesellschaft;Religionssoziologe an der Universität Luzern;Verheiratet mit 3 Kindern;"https://www.facebook.com/anastas.odermatt; https://twitter.com/anastasodermatt";"Kantonsrat;Vorstandsmitglied Grüne Steinhausen";"Begleitgruppe Jugend Steinhausen;Stiftung pro jungwacht blauring;Jungwacht Blauring;Guggemusig Steischränzer;Samichlausgesellschaft Steinhausen;Allianz Gleichwürdig Katholisch;pro natura;Zuger Wanderwege;VCS Verkehrs-Club der Schweiz;SRG Zug;Turnverein St";;1
Beni;Wattenhofer;Steinhausen;KR;3;BW_6476;Faires Miteinander und eine lebenswerte Zukunft für alle, statt kurzfristige Gewinne für wenige.;Software-Projektleiter bei Mobility Carsharing Genossenschaft;Verheiratet;;Mitglied Energiefachkommission Steinhausen;"Guggemusig Steischränzer Steinhausen;Lagerkoch für Jungwacht Steinhausen;Finanzen für Waldstock Openair, ";;0
Katharina;Jans;Steinhausen;KR;5;KJ_6475;Ich möchte mich für einen ressourcenschonenden und nachhaltigen Wandel im Kanton zu einsetzten, da mir die Zukunft unserer Kinder und unserer Umwelt am Herzen liegt.;"Master Umwelt und Natürliche Ressourcen ZHAW;Schulbesucherin beim WWF Zentralschweiz;Service Krone Sihlbrugg";;;Stimmenzählerin;"Ehemaligenverein Jungwacht und Blauring Steinhausen;Catering Verantwortliche des Waldstock Openair Spektakels";;0
Marianne;Aeppli;Menzingen;KR;1;MA_7836;Zug, ein kleiner Kanton mit grosser Vielfalt, städtisch und ländlich, diese Qualität schätze ich: Mit Respekt vor Gewachsenem die Vielfalt fördern.;0;3 Kinder;;"Kantonale Kommission zur Förderung der Kultur Kanton Zug;Finanzkommission Menzingen";"Co-Präsidentin jumpps (Jungen- und Mädchenpädagogik, Projekte für Schulen, CH);Präsidentin Alternative – die Grünen Menzingen;Mitglied Kerngruppe IG Mitänand;Mitglied Finanzkommission Menzingen;Mitglied Kantonale Kulturkommission Zug;Vereins- und Verbands";;0
Andy;Iten;Oberägeri;KR;1;DSC06998;"Oberägeri braucht bezahlbaren Wohnraum.
Meine Politik steht für bezahlbarer Wohnraum, ganzheitliche Familienpolitik und einer nachhaltigen Wirtschaft.";Sozialpädagoge HF;;https://www.instagram.com/gassenpoet/;;"Lagerleiter Jugendfriizyt Oberägeri;Fasnacht Oberägeri (Legorenrat);Zebrafant (Poetry Slam Verein Zug)";Schreibe Gedichte und mache Poetry Slam, Aktiver Fasnächtler in Oberägeri;0
Paul;Iten;Oberägeri;KR;3;DSC06984;Der Kanton Zug und Oberägeri sollen ein Lebensraum für alle Bevölkerungsschichten bleiben.;0;;;"Präsident Kantonaler Konferenz Langzeitpflege;Stiftungsrat Sonderschule SchuLpLus Oberägeri";;;0
